time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-31T00:30:11.110Z,19.5113,-65.0045,33,3.66,md,14,292,1.2355,0.26,pr,pr2022151000,2022-08-06T22:13:08.040Z,"129 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.94,17.44,0.08,10,reviewed,pr,pr
2022-05-31T00:29:29.501Z,-20.5151,-68.8852,101.94,4.1,mb,30,93,0.449,0.93,us,us7000hdpk,2022-08-06T22:13:08.040Z,"136 km ESE of Iquique, Chile",earthquake,4,4.8,0.151,12,reviewed,us,us
2022-05-31T00:05:24.860Z,38.7638333,-122.7153333,1.47,2.52,md,60,24,0.007777,0.07,nc,nc73739416,2022-08-06T22:13:08.040Z,"2km WSW of Anderson Springs, CA",earthquake,0.11,0.16,0.127,37,reviewed,nc,nc
2022-05-30T22:59:44.825Z,51.758,-172.5775,35,2.7,ml,14,216,1.073,0.51,us,us6000i60u,2022-08-06T22:12:57.040Z,"121 km ESE of Atka, Alaska",earthquake,7.4,2,0.105,12,reviewed,us,us
2022-05-30T21:20:50.379Z,51.2824,174.918,26.75,2.8,ml,12,255,1.535,0.7,us,us6000i60t,2022-08-06T22:12:57.040Z,"210 km SSE of Attu Station, Alaska",earthquake,12.9,27.8,0.115,10,reviewed,us,us
2022-05-30T21:18:52.888Z,-24.1757,-67.0301,170.9,4.2,mb,57,44,2.755,0.69,us,us7000hdny,2022-08-06T22:13:07.040Z,"72 km W of San Antonio de los Cobres, Argentina",earthquake,7,4.5,0.105,25,reviewed,us,us
2022-05-30T21:08:41.367Z,-18.9163,-175.7599,223,4.5,mb,33,142,5.111,1.04,us,us7000hdp1,2022-08-06T22:13:08.040Z,"178 km NW of Pangai, Tonga",earthquake,12.2,7.5,0.108,25,reviewed,us,us
2022-05-30T20:45:26.916Z,-21.3092,-175.8157,160,4.4,mb,23,124,6.782,0.84,us,us7000hemr,2022-08-06T22:13:24.040Z,"64 km WSW of Haveluloto, Tonga",earthquake,9.5,6.7,0.139,15,reviewed,us,us
2022-05-30T20:41:36.388Z,-31.0699,-66.3291,135.4,4.5,mb,52,65,1.717,0.4,us,us7000hdnn,2022-08-06T22:13:07.040Z,"78 km S of Chamical, Argentina",earthquake,7.2,5.9,0.106,29,reviewed,us,us
2022-05-30T19:55:01.746Z,24.1977,126.1854,10,4.7,mb,76,125,2.907,0.5,us,us7000hdnk,2022-08-06T22:13:07.040Z,"111 km SE of Hirara, Japan",earthquake,7.7,1.8,0.057,98,reviewed,us,us
2022-05-30T19:39:00.382Z,56.1192,-149.4604,10,3,ml,28,250,2.384,0.33,us,us7000hdnh,2022-08-06T22:13:07.040Z,"239 km SE of Chiniak, Alaska",earthquake,8.7,2,0.064,32,reviewed,us,us
2022-05-30T19:36:52.326Z,-25.2361,-175.2208,10,4.7,mb,49,116,4.674,0.85,us,us7000hemp,2022-08-06T22:13:24.040Z,"south of Tonga",earthquake,11,1.8,0.093,35,reviewed,us,us
2022-05-30T19:29:03.436Z,5.8166,126.3969,102.22,4.3,mb,31,143,1.486,0.65,us,us7000hemn,2022-08-06T22:13:24.040Z,"64 km SSE of Pondaguitan, Philippines",earthquake,10.2,8.4,0.129,17,reviewed,us,us
2022-05-30T19:08:47.554Z,-20.7895,-178.6829,580.92,4.2,mb,24,130,4.321,0.63,us,us7000heml,2022-08-06T22:13:24.040Z,"Fiji region",earthquake,14.3,9.4,0.128,17,reviewed,us,us
2022-05-30T18:52:20.702Z,-11.4697,117.3697,10,4,mb,17,102,4.35,1.07,us,us7000hemw,2022-08-06T22:13:24.040Z,"south of Sumbawa, Indonesia",earthquake,5.3,1.9,0.258,4,reviewed,us,us
2022-05-30T18:44:22.086Z,-21.7005,-173.4331,10,4.9,mb,69,80,8.598,0.42,us,us7000hdni,2022-08-06T22:13:07.040Z,"162 km ESE of ‘Ohonua, Tonga",earthquake,11.6,1.8,0.081,49,reviewed,us,us
2022-05-30T18:39:23.736Z,59.9498,-153.4192,132.8,3.2,ml,,,,0.73,ak,ak0226wdkav9,2022-07-28T17:56:03.873Z,"Southern Alaska",earthquake,,0.3,,,reviewed,ak,ak
