latitude,longitude,depth,magnitude,distance,gravity,force
-49.644,164.004,10.0,5.1,405500,9.78,1.9886451246045055e-15
-6.998,155.775,46.7,5.2,405611,9.78,1.987556843444004e-15
-49.543,163.788,10.0,5.3,405652,9.81,1.9871550916349803e-15
52.753,160.743,45.8,5.2,406011,9.79,1.9836425105260696e-15
30.019,51.156,10.0,5.3,406335,9.78,1.9804803712175237e-15
28.298,57.14,19.3,5.2,406508,9.79,1.978795040556597e-15
-23.057,170.454,50.0,5.2,406560,9.82,1.97828888765567e-15
-18.021,-69.362,118.0,6.3,406569,9.82,1.9782013039839024e-15
-56.422,-27.063,87.7,6.5,406555,9.8,1.9783375477644524e-15
-56.22,-26.739,90.0,5.2,406554,9.78,1.9783472800016503e-15
-31.093,-178.672,111.7,5.3,406423,9.78,1.979622824254919e-15
-10.349,160.766,22.0,6.3,406415,9.8,1.9797007600518957e-15
29.092,129.416,43.6,5.2,406137,9.8,1.9824118903866695e-15
-55.919,-27.936,133.4,5.2,405550,9.8,1.988154797262572e-15
44.318,-129.446,10.0,5.1,405448,9.8,1.9891552574836002e-15
52.779,160.659,43.3,5.3,403905,9.81,2.0043822498526424e-15
38.435,142.842,32.0,7.3,403531,9.81,2.0080993687410416e-15
38.465,143.235,19.8,5.1,403515,9.8,2.00825862045111e-15
38.361,142.91,23.2,5.7,403512,9.82,2.0082884822557533e-15
38.246,143.102,35.0,5.7,403511,9.8,2.0082984363386447e-15
38.311,143.169,29.3,5.3,403494,9.8,2.0084676670713603e-15
38.655,142.753,35.0,5.2,403401,9.8,2.009393837427986e-15
38.672,143.031,35.2,5.1,403358,9.8,2.009822283327447e-15
38.665,142.991,37.8,5.6,403350,9.8,2.00990200931092e-15
38.466,142.702,40.7,5.3,403335,9.8,2.0100515083167118e-15
38.23,143.132,38.8,5.1,403189,9.8,2.0115075036659114e-15
38.803,142.879,46.4,5.1,403013,9.79,2.013264780100809e-15
38.613,143.08,30.4,5.2,403002,9.8,2.0133746863286648e-15
38.537,143.036,33.9,5.2,402636,9.78,2.017036703920644e-15
-27.54,-69.09,101.0,5.2,402419,9.79,2.0192126199503403e-15
-20.083,-174.23,7.3,5.2,402368,9.8,2.019724521343824e-15
8.655,92.411,23.7,5.3,402356,9.78,2.0198449970204775e-15
18.703,121.447,61.4,5.3,401887,9.79,2.0245620446229382e-15
38.315,142.434,22.0,6.0,401849,9.8,2.0249449595746525e-15
38.503,143.166,23.8,5.9,401791,9.8,2.0255296181886752e-15
-9.159,67.407,10.0,5.1,401602,9.8,2.027436556796999e-15
38.345,142.648,23.0,6.0,401465,9.8,2.028820519039793e-15
38.296,142.808,15.0,6.5,401461,9.8,2.028860947985593e-15
-5.985,149.777,29.0,6.4,401459,9.78,2.028881162911667e-15
38.398,143.167,19.9,5.4,401177,9.79,2.031734494868225e-15
24.727,97.957,10.0,5.5,400455,9.79,2.0390673272186187e-15
38.603,143.27,17.4,5.6,400006,9.8,2.043647533864163e-15
38.616,143.122,38.5,5.3,399875,9.8,2.0449867607697424e-15
38.586,143.038,24.8,5.1,399533,9.78,2.0484892739986788e-15
-6.873,116.72,510.6,6.5,398637,9.8,2.0577082331931697e-15
-53.21,-117.837,10.0,5.7,397462,9.8,2.069892447051308e-15
38.297,142.373,29.0,9.1,396491,9.81,2.080043127042035e-15
37.712,141.184,32.3,6.3,396467,9.8,2.080294964123183e-15
37.359,143.351,35.0,6.4,396463,9.8,2.0803369414165677e-15
